code,domain,total,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXI,XXII,XXIII,XXIV,XXV,XXVI,XXVII,XXVIII,XXIX,XXX,XXXI
200,azet.sk,162889,10788,61,10763,69,25,10688,158,10757,75,10779,10821,67,66,10869,10790,214,6379,162,83,71,10713,10744,10398,5089,1,10717,13,10766,21,0,10742
200,centrum.sk,9169,1048,14,1055,8,8,1058,20,625,19,641,352,6,24,375,290,12,2298,85,30,51,122,14,12,849,1,5,2,5,0,0,140
200,gmail.com,1619446,105363,1094,105288,747,619,105379,800,105533,972,105319,105368,842,1013,107223,105405,3936,108279,2970,1183,1062,95215,95616,96674,66591,44,96118,64,104731,27,47,95924
200,hotmail.com,57267,3846,34,3828,15,19,3775,75,3754,86,3814,3824,41,23,3880,3825,80,3079,81,47,65,3456,3485,3511,1881,0,3480,3,3797,1,2,3460
200,icloud.com,6844,442,6,444,4,2,447,10,450,3,446,448,9,5,455,449,22,502,16,4,2,405,410,415,178,0,402,0,449,0,0,419
200,seznam.cz,33210,2162,8,2163,8,2,2165,8,2136,39,2164,2167,6,14,2186,2165,33,2035,47,21,24,1932,1958,1741,1793,0,2089,0,2155,0,0,1989
200,stonline.sk,12894,840,14,836,8,6,838,11,833,9,831,828,9,16,849,833,40,826,24,14,24,792,772,760,498,0,765,1,829,0,0,788
200,yahoo.com,57808,3799,36,3785,32,32,3784,34,3794,36,3772,3779,46,48,3853,3790,107,3924,155,53,58,3402,3427,3440,1970,1,3456,0,3735,0,0,3460
200,zoznam.sk,7111,358,5,360,1,3,359,10,361,5,364,364,7,22,386,369,41,880,133,7,1,368,306,415,900,0,371,1,374,0,0,340
200,(other),303968,19903,314,19871,145,128,19815,193,19668,314,19619,19488,194,267,20028,19570,849,21926,606,260,442,17772,17718,17751,12328,9,17731,13,19202,15,8,17821
421,azet.sk,142,0,0,0,1,0,0,0,0,2,0,1,3,0,25,0,0,0,1,0,0,2,0,44,33,0,6,0,0,0,0,24
421,centrum.sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,icloud.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,seznam.cz,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
421,zoznam.sk,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,6,0,0,0,0,0,0,16
421,(other),5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
451,centrum.sk,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0
451,hotmail.com,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,icloud.com,145,1,12,0,11,0,0,10,0,11,0,10,10,0,10,1,10,0,10,0,0,0,9,8,8,0,0,8,0,8,0,8
451,zoznam.sk,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
451,(other),46,1,3,0,4,0,0,3,0,3,0,1,1,0,2,0,1,0,8,0,0,0,2,1,10,0,1,1,1,2,0,1
452,gmail.com,684,2,41,0,39,1,0,43,0,43,0,39,37,0,41,2,42,0,36,0,0,0,52,52,60,0,0,53,0,52,0,49
452,(other),37,0,2,0,2,0,0,3,0,2,0,2,4,0,1,0,1,0,8,0,0,0,1,1,2,0,0,2,0,2,1,3
499,azet.sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,centrum.sk,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
499,seznam.cz,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,zoznam.sk,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
499,(other),247,1,7,0,8,0,0,12,0,12,1,15,15,0,13,0,13,1,22,0,0,0,14,16,47,0,0,18,0,16,0,16
550,gmail.com,177,2,0,4,0,1,4,2,3,1,2,1,0,2,3,2,6,137,0,0,0,4,0,1,0,0,2,0,0,0,0,0
550,hotmail.com,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,icloud.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,seznam.cz,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550,zoznam.sk,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,1,0,0,0,0,0,0,0,0,0,0
550,(other),425,6,0,12,0,0,8,0,4,2,10,4,0,0,3,2,9,324,2,0,0,4,0,1,7,0,8,0,13,0,0,6
552,gmail.com,416,27,0,28,0,1,28,1,28,0,28,28,0,0,29,30,2,9,0,0,0,31,27,29,2,0,30,0,31,0,0,27
552,seznam.cz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
552,(other),30,4,0,2,0,0,1,0,1,0,4,2,0,0,2,1,0,4,0,0,0,2,2,1,1,0,2,0,1,0,0,0
554,azet.sk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
554,centrum.sk,1884,0,0,0,0,0,0,0,397,26,0,291,0,0,1,66,78,143,1,0,0,158,135,11,564,0,11,0,2,0,0,0
554,stonline.sk,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
554,yahoo.com,41,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,(other),884,13,0,3,0,0,0,1,166,11,0,93,1,0,2,15,31,138,2,0,0,24,15,1,332,0,4,0,30,0,0,2
605,azet.sk,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,centrum.sk,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0
605,gmail.com,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,hotmail.com,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,icloud.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,seznam.cz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,stonline.sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,yahoo.com,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,zoznam.sk,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,(other),243,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,231,0,0,0,1,0,0,4,0,0,0,0,0,0,0
(other),azet.sk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
(other),centrum.sk,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
(other),gmail.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(other),hotmail.com,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(other),yahoo.com,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(other),zoznam.sk,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
(other),(other),85,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,27,21,0,0,0,1,1,14,0,0,0,3,5,0,6
